,0,1,2
0,"[0, '', '', u'$29.90']",,
1,"[1, '', '', u'$24.90']",,
2,"[2, '', '', u'$24.90']",,
3,"[3, '', '', u'$13.50']",,
4,"[4, '', '', u'$13.50']",,
5,"[5, '', u'828ml', u'$13.50']",,
6,"[6, '', u'828ml', u'$13.50']",,
7,"[7, '', u'828ml', u'$13.50']",,
8,"[8, '', u'828ml', u'$13.50']",,
9,"[9, '', u'828ml', u'$13.50']",,
10,"[10, '', u'828ml', u'$13.50']",,
11,"[11, '', u'150g', u'$10']","[11, '', u'350ml', u'$37.31']","[11, '', '', u'38']"
12,"[12, '', u'150g', u'$10']","[12, '', u'350ml', u'$37.31']","[12, '', '', u'$38']"
13,"[13, '', u'150g', u'$10']","[13, '', u'350ml', u'$37.31']","[13, '', '', u'$38']"
14,"[14, '', u'150g', u'$10']","[14, '', u'350ml', u'$37.31']","[14, '', '', u'38']"
15,"[15, '', u'150g', u'$10']","[15, '', '', u'$37.31']",
16,"[16, '', u'150g', u'$10']","[16, '', '', u'$37.31']",
17,"[17, '', u'150g', u'$10']","[17, '', '', u'$37.31']",
18,"[18, '', u'150g', u'$10']","[18, '', '', u'$37.31']",
19,"[19, '', u'180g', u'$10']","[19, '', '', u'$37.31']",
20,"[20, '', u'180g', u'$10']","[20, '', '', u'$37.31']",
21,"[21, '', u'150g', u'$10']","[21, '', '', u'$37.31']",
22,"[22, '', u'150g', u'$10']","[22, '', '', u'$37.31']",
23,"[23, '', u'400ml', '']",,
24,"[24, '', u'400ml', u'42.60']",,
25,"[25, '', u'400ml', '']",,
26,"[26, '', u'400ml', u'42.60']",,
27,"[27, '', u'400ml', '']",,
28,"[28, '', u'400ml', u'$42.60']",,
29,"[29, u'liquid', u'750ml', u'$18.00']","[29, u'powder', u'800g', u'$15.60']","[29, u'paste', u'400g', u'$18.60']"
30,"[30, u'liquid', u'750ml', u'$18.00']","[30, u'powder', u'800g', u'$15.60']","[30, u'paste', u'400g', u'$18.60']"
31,"[31, u'liquid', u'750ml', u'$16.00']","[31, u'powder', u'800g', u'$15.60']","[31, u'paste', u'400g', u'$18.60']"
32,"[32, u'liquid', u'750ml', u'$16.00']","[32, u'powder', u'800g', '']","[32, u'paste', u'400g', '']"
33,"[33, u'liquid', u'750ml', u'$16.00']",,
34,"[34, u'liquid', u'750ml', u'$16.00']",,
35,"[35, u'liquid', u'750ml', u'$16.00']","[35, u'powder', u'800g', u'$15.60']","[35, u'paste', u'400g', u'$18.60']"
36,"[36, u'liquid', u'750ml', u'$16.00']","[36, u'paste', u'400g', u'$18.60']",
37,"[37, '', '', u'ml$16.00']",,
38,"[38, u'liquid', u'450ml', u'$16.00']",,
39,"[39, u'liquid', u'750ml', u'$29.00']",,
40,"[40, u'liquid', u'750ml', u'$29.00']",,
41,"[41, u'liquid', u'750ml', u'$30.00']",,
42,"[42, u'liquid', u'750ml', u'$30.00']",,
43,"[43, u'liquid', u'750ml', u'$16.00']","[43, u'powder', u'800g', u'$15.60']","[43, u'paste', u'400g', u'$18.60']"
44,"[44, u'liquid', u'750ml', u'$16.00']","[44, u'powder', u'800g', u'$15.60']","[44, u'paste', u'400g', '']"
45,"[45, u'liquid', u'750ml', u'$16.00']","[45, u'powder', u'800g', u'$15.60']","[45, u'paste', u'400g', u'$18.60']"
46,"[46, u'liquid', u'750ml', u'$16.00']","[46, u'powder', u'800g', u'$15.60']",
47,"[47, '', u'75ml', u'$27.00']","[47, '', u'125ml', u'$37.00']",
48,"[48, '', u'75ml', u'$27.00']","[48, '', u'125ml', u'$37.00']",
49,"[49, '', u'75ml', u'$19.00']",,
50,"[50, '', u'75ml', u'$19.00']",,
51,"[51, '', u'75ml', u'$27.00']","[51, '', u'125ml', u'$37.00']",
52,"[52, '', u'75ml', u'$27.00']","[52, '', u'125ml', u'$37.00']",
53,"[53, '', u'75ml', u'$27.00']","[53, '', u'125ml', u'$37.00']",
54,"[54, '', u'75ml', u'$27.00']","[54, '', u'125ml', u'$37.00']",
